NORMAL;Froggit;30;7;1;100;COMPLIMENT;BOISSON;-;-
NORMAL;Aatrox;25;5;2;100;JOKE;TROLL;-;-
NORMAL;Mordekaiser;28;6;1;100;COMPLIMENT;INSULTE;-;-
NORMAL;Guardian;22;4;3;100;NOURRITURE;BOISSON;-;-
NORMAL;Thresh;18;3;1;100;COMPLIMENT;JOKE;-;-
MINIBOSS;MimicBox;45;10;2;100;NOURRITURE;TROLL;JOKE;-
MINIBOSS;Warden;55;12;5;100;DANSE;COMPLIMENT;RAGEBAIT;-
MINIBOSS;Wither;50;11;3;100;BOISSON;INSULTE;NOURRITURE;-
BOSS;QueenByte;80;15;4;100;DANSE;RAGEBAIT;NOURRITURE;INSULTE
BOSS;Bowser;95;18;6;100;TROLL;RAGEBAIT;INSULTE;DANSE
BOSS;Ganon;100;20;5;100;JOKE;INSULTE;RAGEBAIT;COMPLIMENT
BOSS;Ender Dragon;90;17;7;100;DANSE;NOURRITURE;TROLL;BOISSON
